run,language,model,agent,tooling
0,python,openrouter/moonshotai/kimi-k2.7-code,omp,none
1,python,openrouter/minimax/minimax-m3,omp,none
2,python,openrouter/deepseek/deepseek-v3.2,omp,none
3,python,openrouter/qwen/qwen3.7-plus,omp,none
4,go,openrouter/moonshotai/kimi-k2.7-code,omp,none
5,go,openrouter/minimax/minimax-m3,omp,none
6,go,openrouter/deepseek/deepseek-v3.2,omp,none
7,go,openrouter/qwen/qwen3.7-plus,omp,none
8,typescript,openrouter/moonshotai/kimi-k2.7-code,omp,none
9,typescript,openrouter/minimax/minimax-m3,omp,none
10,typescript,openrouter/deepseek/deepseek-v3.2,omp,none
11,typescript,openrouter/qwen/qwen3.7-plus,omp,none
12,rust,openrouter/moonshotai/kimi-k2.7-code,omp,none
13,rust,openrouter/minimax/minimax-m3,omp,none
14,rust,openrouter/deepseek/deepseek-v3.2,omp,none
15,rust,openrouter/qwen/qwen3.7-plus,omp,none
16,java,openrouter/moonshotai/kimi-k2.7-code,omp,none
17,java,openrouter/minimax/minimax-m3,omp,none
18,java,openrouter/deepseek/deepseek-v3.2,omp,none
19,java,openrouter/qwen/qwen3.7-plus,omp,none
