run,language,model,agent,tooling
0,python,openrouter/moonshotai/kimi-k2.7-code,omp,none
1,python,openrouter/minimax/minimax-m3,omp,none
2,python,openrouter/deepseek/deepseek-v3.2,omp,none
3,python,openrouter/qwen/qwen3.7-plus,omp,none
4,python,openrouter/z-ai/glm-5.1,omp,none
5,python,openrouter/tencent/hy3-preview,omp,none
6,python,openrouter/anthropic/claude-opus-4.8,omp,none
7,typescript,openrouter/moonshotai/kimi-k2.7-code,omp,none
8,typescript,openrouter/minimax/minimax-m3,omp,none
9,typescript,openrouter/deepseek/deepseek-v3.2,omp,none
10,typescript,openrouter/qwen/qwen3.7-plus,omp,none
11,typescript,openrouter/z-ai/glm-5.1,omp,none
12,typescript,openrouter/tencent/hy3-preview,omp,none
13,typescript,openrouter/anthropic/claude-opus-4.8,omp,none
14,csharp,openrouter/moonshotai/kimi-k2.7-code,omp,none
15,csharp,openrouter/minimax/minimax-m3,omp,none
16,csharp,openrouter/deepseek/deepseek-v3.2,omp,none
17,csharp,openrouter/qwen/qwen3.7-plus,omp,none
18,csharp,openrouter/z-ai/glm-5.1,omp,none
19,csharp,openrouter/tencent/hy3-preview,omp,none
20,csharp,openrouter/anthropic/claude-opus-4.8,omp,none
