Re-scoring 28 run(s) in experiment-17 (metrics=code_quality,test_coverage,defect_rate,build_time,maintainability,token_efficiency, 1 workers)
  claude-opus-4.8_tooling=none/rep1: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
  deepseek-v4-pro_tooling=none/rep1: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
  deepseek-v4-pro_tooling=none/rep2: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
  kimi-k2.7-code_tooling=none/rep1: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
  kimi-k2.7-code_tooling=none/rep2: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
  qwen3.7-plus_tooling=none/rep1: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
  qwen3.7-plus_tooling=none/rep3: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
  glm-5.1_tooling=none/rep1: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
  glm-5.1_tooling=none/rep2: code_quality=1.00 test_coverage=1.00 defect_rate=1.00 maintainability=0.37 token_efficiency=0.00 -> completed RECOVERED
  claude-opus-4.8_tooling=none/rep3: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
  deepseek-v4-pro_tooling=none/rep1: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
  deepseek-v4-pro_tooling=none/rep2: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
  deepseek-v4-pro_tooling=none/rep3: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
  kimi-k2.7-code_tooling=none/rep2: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
  kimi-k2.7-code_tooling=none/rep3: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
  qwen3.7-plus_tooling=none/rep1: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
  qwen3.7-plus_tooling=none/rep2: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
  glm-5.1_tooling=none/rep1: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
  glm-5.1_tooling=none/rep2: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
  glm-5.1_tooling=none/rep3: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
  deepseek-v4-pro_tooling=none/rep1: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
  deepseek-v4-pro_tooling=none/rep2: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
  deepseek-v4-pro_tooling=none/rep3: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
  kimi-k2.7-code_tooling=none/rep2: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
  qwen3.7-plus_tooling=none/rep2: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
  qwen3.7-plus_tooling=none/rep3: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
  glm-5.1_tooling=none/rep1: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
  glm-5.1_tooling=none/rep2: code_quality=0.00 test_coverage=0.00 defect_rate=0.00 maintainability=0.00 token_efficiency=0.00 -> failed still-fails-gate
Re-scored 28 run(s); 1 now completed. Run `retort reevaluate` then `retort aggregate` to refresh.
