experiment,owner,task,judge,status,started_at,finished_at,language,model,tooling,prompt,effort,agent,stack,replicate,code_quality,test_coverage,defect_rate,maintainability,idiomatic,token_efficiency,requirement_coverage,factual_accuracy,runtime,duration_seconds,tokens,cost_usd,turns,max_context_tokens,second_try,agent_steps
retort/experiment-15,retort,unknown,,completed,2026-06-13 15:37:47.075222,2026-06-13 15:37:47.075226,typescript,openrouter/deepseek/deepseek-v3.2,none,,,omp,,1,0.7333333333333334,0.8776999999999999,1.0,0.5600156261445769,,1.0,,,,451.6011086249491,3063067.0,0.299787052,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 15:41:45.336517,2026-06-13 15:41:45.336520,typescript,openrouter/qwen/qwen3.7-plus,none,,,omp,,1,0.7333333333333334,1.0,1.0,0.571902094836926,,1.0,,,,235.51807170792017,1404584.0,0.132812096,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 15:43:15.964894,2026-06-13 15:43:15.964897,rust,openrouter/moonshotai/kimi-k2.7-code,none,,,omp,,1,0.8333333333333334,1.0,1.0,0.8008315899657891,,0.20682817036828635,,,,220.34502216707915,366101.0,0.0928213,,,,
retort/experiment-15,retort,unknown,,failed,2026-06-13 15:45:01.800391,2026-06-13 15:45:01.800394,rust,openrouter/minimax/minimax-m3,none,,,omp,,1,0.0,0.0,0.0,0.0,,0.0,,,,344.4896169999847,1956360.0,0.15778254,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 15:48:54.747682,2026-06-13 15:48:54.747691,java,openrouter/moonshotai/kimi-k2.7-code,none,,,omp,,1,1.0,1.0,1.0,0.9708861021568899,,0.006527823544378772,,,,421.34164120897185,958972.0,0.21297956999999998,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 15:48:59.474758,2026-06-13 15:48:59.474761,python,openrouter/anthropic/claude-opus-4.8,none,,,omp,,1,0.8333333333333334,0.99,0.7345132743362832,0.9440227237872442,,0.5,,,,1.319450666080229,,0.0,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 15:52:09.844231,2026-06-13 15:52:09.844239,java,openrouter/minimax/minimax-m3,none,,,omp,,1,1.0,1.0,1.0,0.902351727177665,,0.003480460144446238,,,,528.8247148329392,4200594.0,0.3239969399999999,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 15:53:41.533167,2026-06-13 15:53:41.533178,java,openrouter/qwen/qwen3.7-plus,none,,,omp,,1,1.0,1.0,1.0,0.9367945410107877,,0.004257142164298743,,,,400.19114037498366,1113423.0,0.126534208,,,,
retort/experiment-15,retort,unknown,,failed,2026-06-13 15:53:50.649506,2026-06-13 15:53:50.649515,rust,openrouter/deepseek/deepseek-v3.2,none,,,omp,,1,0.0,0.0,0.0,0.0,,0.0,,,,527.9499445420224,4996629.0,0.48656316479999995,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 16:15:54.807067,2026-06-13 16:15:54.807070,typescript,openrouter/anthropic/claude-opus-4.8,none,,,omp,,1,0.7333333333333334,1.0,1.0,0.6779325647140827,,1.0,,,,149.96940800000448,1294474.0,1.6101597499999996,,,,
